[IMPORTS]

DLL: ADVAPI32.dll
 RVA: 00001328, Hint:  354(0162), Name: _exit
 RVA: 0000132C, Hint:   55(0037), Name: ?terminate@@YAXXZ
 RVA: 00001330, Hint:  210(00D2), Name: __set_app_type

DLL: COMDLG32.dll
 RVA: 00001338, Hint:   23(0017), Name: ReplaceTextW
 RVA: 0000133C, Hint:   17(0011), Name: PageSetupDlgW
 RVA: 00001340, Hint:   20(0014), Name: PrintDlgExW
 RVA: 00001344, Hint:    8(0008), Name: FindTextW
 RVA: 00001348, Hint:    3(0003), Name: ChooseFontW
 RVA: 0000134C, Hint:   14(000E), Name: GetSaveFileNameW
 RVA: 00001350, Hint:    4(0004), Name: CommDlgExtendedError
 RVA: 00001354, Hint:   12(000C), Name: GetOpenFileNameW
 RVA: 00001358, Hint:   10(000A), Name: GetFileTitleW

DLL: SHELL32.dll
 RVA: 00001360, Hint:   26(001A), Name: DragAcceptFiles
 RVA: 00001364, Hint:  112(0070), Name: SHAddToRecentDocs
 RVA: 00001368, Hint:  195(00C3), Name: SHGetFolderPathW
 RVA: 0000136C, Hint:  144(0090), Name: SHCreateItemFromParsingName
 RVA: 00001370, Hint:  289(0121), Name: ShellExecuteExW
 RVA: 00001374, Hint:   31(001F), Name: DragQueryFileW
 RVA: 00001378, Hint:   27(001B), Name: DragFinish
 RVA: 0000137C, Hint:  282(011A), Name: ShellAboutW

DLL: WINSPOOL.DRV
 RVA: 00001384, Hint:  144(0090), Name: OpenPrinterW
 RVA: 00001388, Hint:   29(001D), Name: ClosePrinter
 RVA: 0000138C, Hint:  134(0086), Name: GetPrinterDriverW

DLL: ole32.dll
 RVA: 00001394, Hint:   63(003F), Name: CoInitializeEx
 RVA: 00001398, Hint:  108(006C), Name: CoUninitialize
 RVA: 0000139C, Hint:  103(0067), Name: CoTaskMemAlloc
 RVA: 000013A0, Hint:   16(0010), Name: CoCreateInstance
 RVA: 000013A4, Hint:  104(0068), Name: CoTaskMemFree
 RVA: 000013A8, Hint:   62(003E), Name: CoInitialize

DLL: SHLWAPI.dll
 RVA: 000013B0, Hint:   93(005D), Name: PathIsFileSpecW
 RVA: 000013B4, Hint:  255(00FF), Name: SHStrDupW

DLL: COMCTL32.dll
 RVA: 000013BC, Hint:    9(0009), Name: CreatePropertySheetPageW
 RVA: 000013C0, Hint:  133(0085), Name: PropertySheetW
 RVA: 000013C4, Hint:   12(000C), Name: CreateStatusWindowW
 RVA: 000013C8, Ord#:  345(0159)

DLL: OLEAUT32.dll
 RVA: 000013D0, Ord#:    6(0006)
 RVA: 000013D4, Ord#:    2(0002)

DLL: ntdll.dll
